timestamp,event_type,key_code
1000.2173147783573,PRESS,a
1000.3585506471145,RELEASE,a
1000.5690105042356,PRESS,a
1000.705919044772,RELEASE,a
1000.9578298705413,PRESS,g
1001.0947953208394,RELEASE,g
1001.3279933640111,PRESS,k
1001.4946044370394,RELEASE,k
1001.7219217479887,PRESS,k
1001.909917002919,RELEASE,k
1002.1760346678864,PRESS,l
1002.3229664558179,RELEASE,l
1002.5641682883963,PRESS,d
1002.6738767061806,RELEASE,d
1002.8799837236076,PRESS,a
1002.9953541611653,RELEASE,a
1003.2171038817756,PRESS,h
1003.2987219002018,RELEASE,h
1003.5581878383083,PRESS,d
1003.667639805825,RELEASE,d
1003.9003899841248,PRESS,f
1004.0356582762033,RELEASE,f
1004.2193425973475,PRESS,h
1004.3724764165154,RELEASE,h
1004.6983925613363,PRESS,d
1004.8683483663,RELEASE,d
1005.1407792817711,PRESS,k
1005.27120498522,RELEASE,k
1005.5069354245052,PRESS,j
1005.6253083418038,RELEASE,j
1005.822874769656,PRESS,f
1005.9378093905068,RELEASE,f
1006.1786706860001,PRESS,g
1006.338122413521,RELEASE,g
1006.4986426287961,PRESS,g
1006.6427740005616,RELEASE,g
1006.8612500795217,PRESS,s
1006.9839658944317,RELEASE,s
1007.246460069084,PRESS,h
1007.3715409034108,RELEASE,h
1007.6204239029555,PRESS,d
1007.7980357968663,RELEASE,d
1008.0401850357404,PRESS,j
1008.1868908967306,RELEASE,j
1008.5033769854513,PRESS,a
1008.6377367413247,RELEASE,a
1008.9571780246127,PRESS,f
1009.098754880239,RELEASE,f
1009.3634088106613,PRESS,f
1009.5093407665438,RELEASE,f
1009.8307447653342,PRESS,j
1009.9258132943675,RELEASE,j
1010.267072022103,PRESS,s
1010.4528959671185,RELEASE,s
1010.658083836742,PRESS,a
1010.7729890603514,RELEASE,a
1011.0019983933314,PRESS,k
1011.1346740180666,RELEASE,k
1011.3750155720223,PRESS,f
1011.4332795247904,RELEASE,f
1011.6897757944157,PRESS,l
1011.8438814393479,RELEASE,l
1012.1902274028578,PRESS,l
1012.2798613347645,RELEASE,l
1012.5451116726267,PRESS,k
1012.6506321123119,RELEASE,k
1012.947936689065,PRESS,l
1013.0950806127908,RELEASE,l
1013.3356651153521,PRESS,a
1013.5068608918862,RELEASE,a
1013.6577894695921,PRESS,g
1013.7659396811584,RELEASE,g
1014.1429667872419,PRESS,k
1014.2625157750341,RELEASE,k
1014.5514889232365,PRESS,s
1014.6703254200519,RELEASE,s
1014.8818445027484,PRESS,s
1014.9835203648298,RELEASE,s
1015.2664935414699,PRESS,j
